City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,port elizabeth,-33.918,25.5701,16.16,79,0,4.63,ZA,1699816422
116,tazovsky,67.4667,78.7,-4.39,95,100,6.27,RU,1699816422
117,fort frances,48.5999,-93.4003,3.42,87,100,3.09,CA,1699816422
118,ola,59.5833,151.2833,-10.64,67,100,7.09,RU,1699816423
119,onega,63.9061,38.1404,-3.57,87,26,5.37,RU,1699816423
120,vernon,50.2581,-119.2691,6.45,59,100,0.17,CA,1699816177
121,sisimiut,66.9395,-53.6735,-7.1,82,100,4.33,GL,1699816423
122,sao vicente,-23.9631,-46.3919,41.26,26,97,0.89,BR,1699816424
123,likasi,-10.9814,26.7333,18.32,94,100,1.79,CD,1699816424
124,penedo,-10.2903,-36.5864,28.73,48,4,6.02,BR,1699816424
125,isafjordur,66.0755,-23.124,2.29,79,100,2.23,IS,1699816424
126,lompoc,34.6391,-120.4579,28.34,31,0,5.36,US,1699816425
127,mwinilunga,-11.7358,24.4293,18.02,92,100,0.78,ZM,1699816425
128,enewetak,11.3474,162.3373,28.01,78,100,9.0,MH,1699816425
129,jertih,5.7336,102.4897,24.59,91,95,1.22,MY,1699816426
130,aleksandrov gay,50.147,48.5704,8.53,57,100,8.31,RU,1699816426
131,limon,10.0,-83.0333,29.47,89,75,6.17,CR,1699816426
132,ust-nera,64.5667,143.2,-24.26,99,100,0.95,RU,1699816427
133,lihue,21.9789,-159.3672,26.58,77,40,9.77,US,1699816427
134,tumen,42.9661,129.8425,-5.66,53,17,6.6,CN,1699816427
135,la mana,-0.9333,-79.2167,29.0,72,87,1.6,EC,1699816428
136,wailua homesteads,22.0669,-159.378,26.24,82,40,9.77,US,1699816428
137,kruisfontein,-34.0033,24.7314,12.5,82,0,3.46,ZA,1699816428
138,vilyuchinsk,52.9306,158.4028,-2.26,83,56,3.1,RU,1699816429
139,itoman,26.1247,127.6694,22.01,60,75,9.77,JP,1699816429
140,ar ruseris,11.8659,34.3869,30.13,45,17,0.28,SD,1699816429
141,santa cruz del sur,20.7147,-77.9956,28.93,73,56,5.73,CU,1699816429
142,sambava,-14.2667,50.1667,24.84,82,91,4.84,MG,1699816430
143,boende,-0.2167,20.8667,21.11,99,96,0.48,CD,1699816430
144,esmeraldas,-19.7625,-44.3139,37.08,18,10,1.86,BR,1699816430
145,chonchi,-42.6128,-73.8092,13.4,47,92,1.16,CL,1699816430
146,olonkinbyen,70.9221,-8.7187,-3.18,67,98,2.64,SJ,1699816431
147,howard springs,-12.497,131.047,26.95,80,84,2.11,AU,1699816431
148,aral,40.5156,81.2636,5.38,32,0,2.3,CN,1699816431
149,sassandra,4.95,-6.0833,26.11,87,8,2.53,CI,1699816432
150,anchorage,61.2181,-149.9003,-3.53,91,40,1.54,US,1699816214
151,north shore,-36.8,174.75,16.89,71,0,2.24,NZ,1699816432
152,tura,25.5198,90.2201,18.28,86,0,1.67,IN,1699816433
153,kodinsk,58.6881,99.1844,-9.76,97,59,1.57,RU,1699816433
154,mahibadhoo,3.7833,72.9667,27.39,77,77,1.92,MV,1699816433
155,rabigh,22.7986,39.0349,29.53,63,100,1.18,SA,1699816433
